Order_Ids,Order_Title,Order_Source,Order_Status,price,Date,Order_Type
OD329454879035222300,Mobile Prepaid Recharge,https://www.flipkart.com/order_details?order_id=OD329454879035222300&item_id=329454879035222300&unit_id=329454879035222300000,Delivered,29,Thu Oct 19,Mobile Recharge
OD329454872649229300,Mobile Prepaid Recharge,https://www.flipkart.com/order_details?order_id=OD329454872649229300&item_id=329454872649229300&unit_id=329454872649229300000,Failed,29,,Mobile Recharge
OD329454866261449300,Mobile Prepaid Recharge,https://www.flipkart.com/order_details?order_id=OD329454866261449300&item_id=329454866261449300&unit_id=329454866261449300000,Failed,19,,Mobile Recharge
OD329454865341232300,Mobile Prepaid Recharge,https://www.flipkart.com/order_details?order_id=OD329454865341232300&item_id=329454865341232300&unit_id=329454865341232300000,Failed,19,,Mobile Recharge
OD329441200245284300,Mobile Prepaid Recharge,https://www.flipkart.com/order_details?order_id=OD329441200245284300&item_id=329441200245284300&unit_id=329441200245284300000,Delivered,19,Tue Oct 17,Mobile Recharge
OD329376608982457100,HARPA Women Fit and Flare Pink Dress,https://www.flipkart.com/order_details?order_id=OD329376608982457100&item_id=329376608982457100&unit_id=329376608982457100000,Delivered,494,Oct 14,Shopping
OD329347858690695100,ZEBRONICS ZEB-TRANSFORMER-M Wired Optica...,https://www.flipkart.com/order_details?order_id=OD329347858690695100&item_id=329347858690695100&unit_id=329347858690695100000,Delivered,359,Oct 11,Shopping
OD329347787410570100,ASUS TUF Gaming K3 - RA05 / 100% Anti-gh...,https://www.flipkart.com/order_details?order_id=OD329347787410570100&item_id=329347787410570100&unit_id=329347787410570100000,Delivered,2949,Oct 10,Shopping
OD329347713421991100,ASUS TUF Gaming K3 - RA05 / 100% Anti-gh...,https://www.flipkart.com/order_details?order_id=OD329347713421991100&item_id=329347713421991100&unit_id=329347713421991100000,Not Placed,2949,,Shopping
OD329347692199775100,ASUS TUF Gaming K3 - RA05 / 100% Anti-gh...,https://www.flipkart.com/order_details?order_id=OD329347692199775100&item_id=329347692199775100&unit_id=329347692199775100000,Not Placed,2949,,Shopping
OD329325070133090300,Mobile Prepaid Recharge,https://www.flipkart.com/order_details?order_id=OD329325070133090300&item_id=329325070133090300&unit_id=329325070133090300000,Failed,149,,Mobile Recharge
